window_id,strategy_name,variant,share_size,start_time,end_time,final_result,orders_placed,orders_filled,up_shares,down_shares,avg_up,avg_down,avg_sum,cost,gross_pnl,net_pnl,max_imbalance,stopped_reason,first_fill_time,last_fill_time,btc_move_10s_at_entry,btc_move_30s_at_entry,pm_volume_at_entry
btc-updown-5m-1779077400,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 04:09:59+00:00,2026-05-18 04:14:32+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779077700,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 04:15:01+00:00,2026-05-18 04:19:39+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779078000,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 04:20:00+00:00,2026-05-18 04:23:23+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,window_end,,,,,
btc-updown-5m-1779078300,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 04:25:01+00:00,2026-05-18 04:29:57+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779078600,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 04:29:59+00:00,2026-05-18 04:34:57+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779078900,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 04:35:00+00:00,2026-05-18 04:39:49+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779079200,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 04:40:00+00:00,2026-05-18 04:42:56+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,window_end,,,,,
btc-updown-5m-1779079500,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 04:45:01+00:00,2026-05-18 04:49:37+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779079800,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 04:50:01+00:00,2026-05-18 04:54:52+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779080100,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 04:55:01+00:00,2026-05-18 04:59:13+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779080400,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 05:00:02+00:00,2026-05-18 05:04:58+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779080700,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 05:05:00+00:00,2026-05-18 05:09:55+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779081000,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 05:10:00+00:00,2026-05-18 05:14:58+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779081300,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 05:15:01+00:00,2026-05-18 05:19:55+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779081600,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 05:20:01+00:00,2026-05-18 05:24:41+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779081900,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 05:24:59+00:00,2026-05-18 05:29:58+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779082200,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 05:30:00+00:00,2026-05-18 05:34:55+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779082500,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 05:35:00+00:00,2026-05-18 05:39:58+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779082800,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 05:40:01+00:00,2026-05-18 05:44:32+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779083100,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 05:45:01+00:00,2026-05-18 05:49:44+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779083400,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 05:50:00+00:00,2026-05-18 05:54:56+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779083700,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 05:55:01+00:00,2026-05-18 05:59:57+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779084000,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 06:00:00+00:00,2026-05-18 06:04:44+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779084300,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 06:05:02+00:00,2026-05-18 06:08:44+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,window_end,,,,,
btc-updown-5m-1779084600,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 06:10:02+00:00,2026-05-18 06:14:18+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779084900,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 06:15:00+00:00,2026-05-18 06:19:32+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779085200,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 06:20:02+00:00,2026-05-18 06:24:53+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779085500,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 06:25:00+00:00,2026-05-18 06:29:48+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779085800,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 06:30:01+00:00,2026-05-18 06:34:55+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779086100,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 06:35:00+00:00,2026-05-18 06:39:42+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779086400,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 06:40:00+00:00,2026-05-18 06:44:43+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779086700,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 06:45:01+00:00,2026-05-18 06:49:05+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779087000,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 06:50:00+00:00,2026-05-18 06:54:19+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779087300,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 06:55:00+00:00,2026-05-18 06:59:53+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779087600,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 07:00:01+00:00,2026-05-18 07:04:55+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779087900,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 07:05:00+00:00,2026-05-18 07:09:57+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779088200,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 07:10:02+00:00,2026-05-18 07:14:57+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779088500,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 07:15:00+00:00,2026-05-18 07:19:12+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779088800,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 07:20:01+00:00,2026-05-18 07:24:57+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779089100,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 07:25:02+00:00,2026-05-18 07:28:27+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,window_end,,,,,
btc-updown-5m-1779089400,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 07:30:01+00:00,2026-05-18 07:34:58+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779089700,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 07:35:00+00:00,2026-05-18 07:39:25+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779090000,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 07:40:01+00:00,2026-05-18 07:44:12+00:00,DOWN,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
btc-updown-5m-1779090300,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 07:45:02+00:00,2026-05-18 07:48:47+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,window_end,,,,,
btc-updown-5m-1779090600,Avg-Sum Target Bot,AvgSum_099,2,2026-05-18 07:50:02+00:00,2026-05-18 07:54:57+00:00,UP,0,0,0,0,,,,0,0.0,0.0,0,cancel_240,,,,,
